,MAE_train,MAE_test,RMSE_train,RMSE_test,R2_train,R2_test,CV_MAE
RandomForest_Tuned,22.066002541968274,46.73584143486241,29.52239361446547,61.81648719767545,0.9137717171574021,0.6180996664597131,61.07467439427691
XGBoost_Tuned,38.22835312569719,49.29869345878222,49.87100517723161,64.6764714349019,0.7539389637990466,0.5819444152201876,60.17761262004473
XGBoost_Improved,34.089227240176484,47.22347474049571,44.830046670411306,62.551631913754136,0.8011685924068852,0.6089622525145786,60.50812800798667
